Date,CompanyPostalCode,County,CategoryId,CategoryName,LaborRate,MeanIncome,HousePrice,BCI_County_TimeSeries
12/1/2019,90606,Los Angeles County,93123,acoustic panel ceiling tile,35,87908,87908,6698
12/1/2019,90249,Los Angeles County,93257,flooring,48,82585,82585,6698
12/1/2019,90706,Los Angeles County,93024,doors & casings,35,79884,79884,6698
12/1/2019,91765,Los Angeles County,92958,hvac,35,124435,124435,6698
12/1/2019,90230,Los Angeles County,93590,drywall work,85,121365,121365,6698
11/1/2021,95337,San Joaquin County,151154,laundry room,85,103772,103772,7807
11/1/2021,92612,Orange County,150431,design & permit service,35,112701,112701,8125
11/1/2021,94703,Alameda County,150240,hvac,105,127085,127085,8196
11/1/2021,92612,Orange County,150441,hvac,35,112701,112701,8125
11/1/2021,94941,Marin County,149890,fence and gate,75,246206,246206,8444
11/1/2021,94954,Sonoma County,150818,interior painting,50,117619,117619,7902
11/1/2021,94703,Alameda County,150319,flooring,105,127085,127085,8196
11/1/2021,90249,Los Angeles County,151205,roofing,65,82585,82585,7839
11/1/2021,94954,Sonoma County,150819,flooring,50,117619,117619,7902
11/1/2021,94703,Alameda County,150948,surface concrete work,125,127085,127085,8196
11/1/2021,95120,Santa Clara County,150828,roofing,120,243160,243160,8441
11/1/2021,95337,San Joaquin County,150840,deck | patio,120,103772,103772,7807
11/1/2021,92612,Orange County,150423,site preparation & maintenance,35,112701,112701,8125
11/1/2021,92653,Orange County,150000,interior painting,50,155769,155769,8125
11/1/2021,95240,San Joaquin County,150053,flooring,65,73487,73487,7807
11/1/2021,92612,Orange County,150424,fireplace,35,112701,112701,8125
11/1/2021,95240,San Joaquin County,150461,electrical work,65,73487,73487,7807
11/1/2021,92563,Riverside County,150367,insulation,95,121519,121519,7770
11/1/2021,92653,Orange County,149999,flooring,55,155769,155769,8125
11/1/2021,94010,San Mateo County,149897,electrical work,50,264264,264264,8779
11/1/2021,92612,Orange County,150198,laundry room,35,112701,112701,8125
11/1/2021,92653,Orange County,149998,drywall work,50,155769,155769,8125
11/1/2021,95337,San Joaquin County,151160,surface concrete work,85,103772,103772,7807
11/1/2021,94941,Marin County,149887,water heater,75,246206,246206,8444
11/1/2021,94703,Alameda County,150231,hvac,95,127085,127085,8196
11/1/2021,95240,San Joaquin County,150463,drywall work,65,73487,73487,7807
11/1/2021,95120,Santa Clara County,150831,electrical work,85,243160,243160,8441
11/1/2021,95337,San Joaquin County,151169,foundation & retaining wall,35,103772,103772,7807
11/1/2021,92612,Orange County,150346,deck | patio,35,112701,112701,8125
11/1/2021,95603,Placer County,149883,laundry room,60,98616,98616,7947
11/1/2021,92612,Orange County,150425,flooring,35,112701,112701,8125
11/1/2021,90706,Los Angeles County,150040,paving work,35,79884,79884,7839
11/1/2021,92612,Orange County,150450,doors & casings,35,112701,112701,8125
11/1/2021,90230,Los Angeles County,150701,hvac,85,121365,121365,7839
11/1/2021,94703,Alameda County,151167,flooring,90,127085,127085,8196
11/1/2021,95337,San Joaquin County,150838,design & permit service,90,103772,103772,7807
11/1/2021,92612,Orange County,150429,exterior painting,35,112701,112701,8125
11/1/2021,92612,Orange County,150432,surface concrete work,35,112701,112701,8125
11/1/2021,90249,Los Angeles County,151213,mechanical,65,82585,82585,7839
11/1/2021,92101,San Diego County,150013,flooring,50,108606,108606,7952
11/1/2021,94703,Alameda County,150947,fence and gate,95,127085,127085,8196
11/1/2021,95120,Santa Clara County,150020,laundry room,115,243160,243160,8441
11/1/2021,92101,San Diego County,150533,flooring,50,108606,108606,7952
11/1/2021,90230,Los Angeles County,150707,flooring,85,121365,121365,7839
11/1/2021,92612,Orange County,150437,interior painting,35,112701,112701,8125
11/1/2021,95337,San Joaquin County,149960,roofing,85,103772,103772,7807
11/1/2021,95240,San Joaquin County,150050,interior painting,65,73487,73487,7807
11/1/2021,92117,San Diego County,151219,deck | patio,35,109276,109276,7952
11/1/2021,95240,San Joaquin County,150465,exterior siding,65,73487,73487,7807
11/1/2021,92612,Orange County,150438,electrical work,35,112701,112701,8125
11/1/2021,95120,Santa Clara County,150041,powder room,115,243160,243160,8441
11/1/2021,92612,Orange County,150427,landscape,35,112701,112701,8125
11/1/2021,94703,Alameda County,150821,hvac,105,127085,127085,8196
11/1/2021,94954,Sonoma County,150473,new home or addition,50,117619,117619,7902
11/1/2021,94941,Marin County,150406,roofing,75,246206,246206,8444
11/1/2021,95240,San Joaquin County,150051,drywall work,65,73487,73487,7807
11/1/2021,94703,Alameda County,150824,water heater,100,127085,127085,8196
11/1/2021,94941,Marin County,149888,window,75,246206,246206,8444
11/1/2021,95120,Santa Clara County,150830,exterior siding,120,243160,243160,8441
11/1/2021,95603,Placer County,150974,flooring,60,98616,98616,7947
11/1/2021,95240,San Joaquin County,150462,exterior siding,65,73487,73487,7807
11/1/2021,92653,Orange County,150071,roofing,50,155769,155769,8125
11/1/2021,95337,San Joaquin County,150842,roofing,120,103772,103772,7807
11/1/2021,94010,San Mateo County,149899,interior painting,50,264264,264264,8779
11/1/2021,90220,Los Angeles County,150374,drywall work,40,71566,71566,7839
11/1/2020,94121,San Francisco County,115455,site preparation & maintenance,85,149569,149569,8238
11/1/2020,90220,Los Angeles County,117080,interior & exterior painting,40,71566,71566,6906
11/1/2020,94010,San Mateo County,117491,new home or addition,50,264264,264264,7733
11/1/2020,94121,San Francisco County,131171,exterior siding,75,149569,149569,8238
11/1/2020,94121,San Francisco County,117497,flooring,85,149569,149569,8238
11/1/2020,90220,Los Angeles County,117079,flooring,40,71566,71566,6906
11/1/2020,94121,San Francisco County,117496,interior painting,95,149569,149569,8238
11/1/2020,92117,San Diego County,116493,skylight,35,109276,109276,7005
11/1/2020,90706,Los Angeles County,115857,doors & casings,35,79884,79884,6906
11/1/2020,90249,Los Angeles County,115100,laundry room,65,82585,82585,6906
11/1/2020,90706,Los Angeles County,115855,drywall work,18,79884,79884,6906
11/1/2020,90220,Los Angeles County,116853,plumbing work,40,71566,71566,6906
11/1/2020,92563,Riverside County,117279,doors & casings,50,121519,121519,6845
11/1/2020,94121,San Francisco County,115461,window,75,149569,149569,8238
11/1/2020,94941,Marin County,115810,design & permit service,75,246206,246206,7439
11/1/2020,94941,Marin County,115811,site preparation & maintenance,75,246206,246206,7439
11/1/2020,92394,San Bernardino County,116081,powder room,30,94001,94001,6752
11/1/2020,94121,San Francisco County,115458,flooring,85,149569,149569,8238
11/1/2020,90249,Los Angeles County,116120,interior painting,65,82585,82585,6906
11/1/2020,94941,Marin County,117525,site preparation & maintenance,75,246206,246206,7439
11/1/2020,95603,Placer County,115388,exterior siding,60,98616,98616,7000
11/1/2020,92394,San Bernardino County,116086,water heater,25,94001,94001,6752
11/1/2020,94121,San Francisco County,117494,drywall work,85,149569,149569,8238
11/1/2020,92081,San Diego County,116675,fireplace,75,99684,99684,7005
11/1/2020,95688,Solano County,117645,interior painting,58,124779,124779,6955
11/1/2020,94941,Marin County,117530,flooring,75,246206,246206,7439
11/1/2020,95747,Placer County,114697,exterior siding,50,130719,130719,7000
11/1/2020,94941,Marin County,117534,electrical work,75,246206,246206,7439
11/1/2020,90606,Los Angeles County,114850,mechanical,35,87908,87908,6906
11/1/2020,90249,Los Angeles County,115153,exterior painting,65,82585,82585,6906
11/1/2020,95120,Santa Clara County,115574,electrical work,75,243160,243160,7436
11/1/2020,94553,Contra Costa County,117081,doors & casings,50,128626,128626,7245
11/1/2020,92081,San Diego County,115405,plumbing work,75,99684,99684,7005
11/1/2020,94121,San Francisco County,115462,electrical work,145,149569,149569,8238
11/1/2020,95603,Placer County,115742,blank template,60,98616,98616,7000
11/1/2020,95747,Placer County,116565,exterior siding,50,130719,130719,7000
11/1/2020,92081,San Diego County,115398,interior & exterior painting,75,99684,99684,7005
11/1/2020,90249,Los Angeles County,116118,flooring,65,82585,82585,6906
11/1/2020,94121,San Francisco County,131172,exterior painting,75,149569,149569,8238
11/1/2020,90606,Los Angeles County,114824,acoustic panel ceiling tile,35,87908,87908,6906
11/1/2020,94941,Marin County,117540,landscape,75,246206,246206,7439
11/1/2020,92394,San Bernardino County,116082,roofing,45,94001,94001,6752
11/1/2020,90706,Los Angeles County,115856,flooring,47,79884,79884,6906
11/1/2020,92394,San Bernardino County,116087,roofing,45,94001,94001,6752
11/1/2020,92117,San Diego County,116491,site preparation & maintenance,35,109276,109276,7005
11/1/2020,94941,Marin County,117531,fireplace,75,246206,246206,7439
11/1/2020,94121,San Francisco County,115459,hvac,165,149569,149569,8238
11/1/2020,94941,Marin County,115813,flooring,75,246206,246206,7439
11/1/2020,94121,San Francisco County,115463,doors & casings,85,149569,149569,8238
11/1/2020,95337,San Joaquin County,117145,exterior painting,35,103772,103772,6877
11/1/2020,95120,Santa Clara County,116479,electrical work,75,243160,243160,7436
11/1/2020,95361,Stanislaus County,114652,doors & casings,95,100728,100728,6777
11/1/2020,94941,Marin County,115814,interior painting,75,246206,246206,7439
11/1/2020,92563,Riverside County,117271,window,50,121519,121519,6845
11/1/2020,95337,San Joaquin County,117144,exterior siding,60,103772,103772,6877
